Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;10.7 (01:50);6.9 (12:20);8.8;70 (22:10);41 (22:10);4.0;0.2;0.0;3.0
As Pontes;A Coruña;7.7 (14:10);3.2 (23:59);5.4;;;;;;
A Coruña;A Coruña;11.2 (02:00);7.5 (19:20);9.3;67 (13:10);33 (19:50);5.6;0.6;0.4;3.0
A Coruña Aeropuerto;A Coruña;10.6 (04:40);5.8 (13:30);8.2;72 (15:00);41 (15:00);3.6;1.4;0.0;1.6
Carballo, Depuradora;A Coruña;9.9 (12:50);6.1 (23:00);8.0;;;10.8;1.8;0.8;5.6
Cabo Vilan;A Coruña;;;;87 (20:40);67 (20:40);2.8;0.6;1.0;0.6
Vimianzo;A Coruña;9.0 (12:30);3.9 (22:30);6.5;;;;;;
Fisterra;A Coruña;9.6 (01:00);5.3 (18:50);7.5;93 (16:20);61 (18:00);1.4;0.2;0.0;0.2
Mazaricos;A Coruña;8.5 (00:00);4.1 (23:30);6.3;;;;;;
Sobrado;A Coruña;;;;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;8.2 (12:40);1.9 (22:50);5.0;59 (13:00);38 (13:00);7.5;1.2;1.4;3.5
Noia;A Coruña;9.6 (12:50);4.3 (22:40);7.0;27 (16:50);6 (16:30);0.8;0.2;0.4;0.0
Monte Iroite;A Coruña;;;;;;;;;
Boiro;A Coruña;11.3 (14:50);5.5 (22:40);8.4;;;1.8;0.2;0.0;0.6
Padrón;A Coruña;11.3 (13:10);3.5 (23:59);7.4;39 (14:50);15 (17:20);7.7;0.6;0.7;3.4
Santiago de Compostela;A Coruña;9.9 (12:40);4.1 (23:20);7.0;39 (13:40);13 (13:40);4.6;0.4;0.8;2.1
Rois, Casas do Porto;A Coruña;;;;;;;;;
Ossa de Montiel;Albacete;8.3 (15:30);-1.3 (07:10);3.5;35 (13:00);21 (13:00);4.6;0.0;0.0;0.0
Villarrobledo;Albacete;10.7 (14:20);-1.2 (06:00);4.7;44 (15:20);27 (14:10);2.0;0.0;0.0;0.0
Munera;Albacete;8.5 (11:30);-1.1 (01:50);3.7;35 (12:40);17 (12:40);4.2;0.0;0.2;0.0
Yeste, Embalse Fuensanta;Albacete;11.6 (14:20);2.1 (08:50);6.9;;;8.8;0.0;0.0;0.0
Nerpio;Albacete;5.9 (00:20);0.1 (23:59);3.0;;;0.4;0.0;0.0;0.0
Yeste;Albacete;10.5 (12:30);1.6 (23:59);6.1;;;7.8;0.0;0.0;0.0
Hellín;Albacete;13.9 (12:30);4.6 (09:00);9.2;41 (15:10);26 (15:10);5.5;0.0;0.0;0.0
Tobarra;Albacete;14.2 (13:40);4.4 (08:50);9.3;;;3.6;0.0;0.0;0.0
Albacete Base Aérea;Albacete;10.4 (12:00);-0.4 (08:30);5.0;;;2.6;0.0;0.0;0.0
Chinchilla;Albacete;8.5 (14:20);2.0 (23:59);5.3;46 (16:10);29 (16:20);4.3;0.0;0.0;0.0
Albacete;Albacete;10.6 (13:00);0.9 (05:30);5.8;40 (13:20);18 (14:50);3.6;0.0;0.0;0.0
Alcalá del Júcar;Albacete;10.3 (15:10);1.2 (04:30);5.8;40 (15:40);21 (15:50);4.6;0.0;0.0;0.0
Almansa;Albacete;11.7 (13:00);3.2 (05:10);7.4;43 (15:50);22 (17:10);5.6;0.0;0.0;0.0
Orihuela;Alacant/Alicante;17.8 (15:10);8.8 (09:00);13.3;27 (23:30);14 (23:30);2.8;1.2;0.0;0.0
Pinoso;Alacant/Alicante;13.0 (13:20);2.0 (08:30);7.5;29 (19:30);13 (19:30);8.6;0.0;0.0;0.0
Rojales;Alacant/Alicante;18.8 (15:20);8.8 (07:00);13.8;26 (11:40);16 (23:10);1.6;1.2;0.2;0.0
Villena;Alacant/Alicante;15.1 (13:50);2.6 (08:30);8.9;41 (20:20);26 (16:10);5.8;0.0;0.0;0.0
Novelda;Alacant/Alicante;17.7 (14:40);8.0 (08:20);12.9;;;6.2;0.0;0.0;0.0
Elche/Elx;Alacant/Alicante;19.6 (15:50);6.9 (07:30);13.3;;;0.8;0.6;0.0;0.0
Alicante-Elche Aeropuerto;Alacant/Alicante;18.7 (16:40);7.6 (08:50);13.2;41 (19:00);28 (19:00);2.6;0.9;0.1;0.0
Alicante/Alacant;Alacant/Alicante;19.4 (14:50);7.7 (08:10);13.5;32 (19:30);14 (12:50);2.2;0.0;0.0;0.0
Benidorm;Alacant/Alicante;17.0 (14:00);8.6 (23:59);12.8;30 (13:00);17 (12:00);2.6;0.8;0.0;0.0
Jávea/ Xàbia;Alacant/Alicante;19.0 (13:20);7.2 (08:20);13.1;41 (23:40);26 (23:20);10.6;0.0;0.0;0.0
Pego;Alacant/Alicante;18.2 (13:30);7.6 (23:59);12.9;37 (17:50);21 (13:00);22.2;0.0;0.0;0.0
