Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Estaca de Bares;A Coruña;8.2 (15:00);4.4 (04:10);6.3;78 (04:00);48 (07:30);;;;
As Pontes;A Coruña;4.4 (17:40);-0.5 (21:50);2.0;;;;;;
A Coruña;A Coruña;8.1 (16:10);4.0 (09:00);6.1;70 (09:40);45 (09:40);13.4;8.2;4.6;0.6
A Coruña Aeropuerto;A Coruña;8.1 (16:50);2.1 (23:40);5.1;54 (07:50);28 (08:00);7.8;3.2;4.5;0.1
Carballo, Depuradora;A Coruña;8.6 (16:30);2.0 (23:59);5.3;;;19.0;13.6;4.4;0.6
Cabo Vilan;A Coruña;;;;96 (01:10);75 (01:10);11.9;7.1;3.4;1.4
Vimianzo;A Coruña;7.2 (14:50);0.1 (23:59);3.6;;;;;;
Fisterra;A Coruña;7.4 (15:40);2.4 (08:30);4.9;89 (08:10);55 (08:30);6.6;5.0;1.4;0.2
Mazaricos;A Coruña;6.0 (15:00);0.9 (23:59);3.4;;;;;;
Santiago de Compostela Aeropuerto;A Coruña;5.5 (13:00);-0.4 (21:20);2.5;48 (14:00);22 (09:20);1.2;0.5;0.5;0.2
Noia;A Coruña;7.5 (15:50);1.6 (23:50);4.6;36 (10:30);10 (05:20);;;;
Boiro;A Coruña;9.2 (15:30);1.5 (23:59);5.3;;;0.8;0.0;0.6;0.2
Padrón;A Coruña;8.8 (13:10);0.1 (23:20);4.5;51 (15:50);27 (12:30);0.6;0.2;0.4;0.0
Santiago de Compostela;A Coruña;7.1 (15:30);1.3 (22:50);4.2;40 (14:00);15 (14:10);1.0;0.3;0.5;0.2
Rois, Casas do Porto;A Coruña;6.5 (15:30);1.4 (23:40);3.9;;;;;;
Ossa de Montiel;Albacete;3.3 (15:50);-6.7 (08:30);-1.7;21 (21:40);11 (22:00);0.4;0.0;0.4;0.0
Villarrobledo;Albacete;7.4 (15:20);-5.5 (08:10);1.0;20 (00:40);12 (00:10);0.0;0.0;0.0;0.0
Munera;Albacete;2.3 (16:40);-9.6 (08:30);-3.7;18 (00:40);7 (00:10);0.0;0.0;0.0;0.0
Yeste, Embalse Fuensanta;Albacete;11.6 (16:00);-2.7 (08:40);4.5;;;0.0;0.0;0.0;0.0
Nerpio;Albacete;3.3 (14:40);-12.3 (04:40);-4.5;;;0.8;0.0;0.8;0.0
Yeste;Albacete;6.7 (16:10);-3.0 (08:20);1.8;;;0.0;0.0;0.0;0.0
Hellín;Albacete;7.3 (16:10);-0.6 (08:10);3.4;48 (05:10);25 (05:10);0.0;0.0;0.0;0.0
Tobarra;Albacete;8.2 (16:00);-0.8 (07:50);3.7;;;0.0;0.0;0.0;0.0
Albacete Base Aérea;Albacete;6.0 (15:50);-4.1 (08:20);1.0;;;0.0;0.0;0.0;0.0
Chinchilla;Albacete;4.3 (18:20);-5.5 (08:40);-0.6;32 (15:00);17 (22:40);0.0;0.0;0.0;0.0
Albacete;Albacete;7.3 (15:50);-3.2 (08:40);2.1;21 (17:30);9 (10:00);0.0;0.0;0.0;0.0
Alcalá del Júcar;Albacete;9.2 (16:20);-2.7 (08:20);3.2;23 (15:50);14 (18:00);0.0;0.0;0.0;0.0
Almansa;Albacete;8.4 (16:40);-2.3 (08:30);3.0;19 (13:40);8 (13:30);0.0;0.0;0.0;0.0
Orihuela;Alacant/Alicante;13.0 (17:20);3.7 (23:40);8.4;26 (07:50);16 (06:30);0.0;0.0;0.0;0.0
Pinoso;Alacant/Alicante;8.0 (15:50);-2.4 (23:10);2.8;23 (00:30);10 (19:00);0.0;0.0;0.0;0.0
Rojales;Alacant/Alicante;12.9 (16:00);3.9 (08:20);8.4;24 (00:20);14 (00:10);0.0;0.0;0.0;0.0
Villena;Alacant/Alicante;10.0 (15:20);0.4 (08:20);5.2;32 (06:30);21 (06:50);0.0;0.0;0.0;0.0
Novelda;Alacant/Alicante;13.3 (15:10);3.1 (07:20);8.2;;;0.0;0.0;0.0;0.0
Elche/Elx;Alacant/Alicante;13.6 (14:00);3.8 (23:40);8.7;;;0.0;0.0;0.0;0.0
Alicante-Elche Aeropuerto;Alacant/Alicante;13.3 (14:00);5.0 (08:20);9.2;33 (05:20);23 (05:20);0.0;0.0;0.0;0.0
Alicante/Alacant;Alacant/Alicante;13.3 (14:40);4.5 (08:30);8.9;23 (16:20);13 (16:30);0.0;0.0;0.0;0.0
Benidorm;Alacant/Alicante;11.4 (13:30);5.4 (02:00);8.4;15 (16:00);8 (17:10);1.6;1.6;0.0;0.0
Jávea/ Xàbia;Alacant/Alicante;11.1 (14:30);4.6 (03:30);7.9;40 (00:10);21 (00:20);8.2;8.2;0.0;0.0
Pego;Alacant/Alicante;10.6 (13:30);4.7 (04:30);7.7;26 (05:10);17 (04:50);3.0;3.0;0.0;0.0
Alcoy/Alcoi;Alacant/Alicante;7.3 (15:10);1.3 (01:50);4.3;17 (11:00);9 (13:00);0.8;0.6;0.2;0.0
Vélez Blanco - Topares;Almería;4.8 (16:40);-5.0 (07:50);-0.1;;;0.0;0.0;0.0;0.0
Adra;Almería;15.9 (13:40);7.9 (07:20);11.9;23 (17:00);15 (17:10);0.0;0.0;0.0;0.0
El Ejido;Almería;15.9 (15:10);5.8 (07:10);10.8;;;0.0;0.0;0.0;0.0
Roquetas de Mar;Almería;15.2 (15:10);3.2 (07:40);9.2;;;0.0;0.0;0.0;0.0
Abla;Almería;7.8 (12:30);-0.3 (04:40);3.8;22 (01:10);10 (00:30);0.0;0.0;0.0;0.0
Almería Aeropuerto;Almería;15.0 (14:20);8.2 (23:40);11.6;45 (01:20);30 (01:10);0.0;0.0;0.0;0.0
Cabo de Gata;Almería;14.5 (11:00);9.5 (08:40);12.0;73 (00:30);39 (00:30);0.0;0.0;0.0;0.0
Garrucha, Puerto;Almería;12.1 (12:00);5.4 (08:10);8.8;32 (17:20);26 (17:30);0.0;0.0;0.0;0.0
Albox;Almería;13.4 (16:00);2.1 (04:00);7.7;48 (06:20);38 (06:10);0.0;0.0;0.0;0.0
Huercal Overa;Almería;14.1 (13:20);2.5 (08:30);8.3;63 (15:40);18 (00:10);0.0;0.0;0.0;0.0
Alborán;Almería;;;;;;;;;
